Operation: ADDWF      | operand_a: 15 | operand_b: 1 | Result: 16 | Status: 2 | Skip: 0
Operation: ANDWF      | operand_a: 240 | operand_b: 15 | Result: 0 | Status: 7 | Skip: 0
Operation: ADDLW      | operand_a: 254 | operand_b: 2 | Result: 0 | Status: 7 | Skip: 0
Operation: ANDLW      | operand_a: 60 | operand_b: 15 | Result: 12 | Status: 3 | Skip: 0
Operation: BCF        | operand_a: 170 | operand_b: 0 | Result: 168 | Status: 5 | Skip: 0
Operation: BTFSC      | operand_a: 170 | operand_b: 0 | Result: 170 | Status: 2 | Skip: 1
Operation: BSF        | operand_a: 16 | operand_b: 0 | Result: 24 | Status: 1 | Skip: 0
Operation: BTFSS      | operand_a: 8 | operand_b: 0 | Result: 8 | Status: 4 | Skip: 1
Operation: CLRF       | operand_a: 85 | operand_b: 0 | Result: 0 | Status: 7 | Skip: 0
Operation: CLRW       | operand_a: 0 | operand_b: 0 | Result: 0 | Status: 5 | Skip: 0
Operation: COMF       | operand_a: 255 | operand_b: 0 | Result: 0 | Status: 7 | Skip: 0
Operation: DECF       | operand_a: 1 | operand_b: 0 | Result: 0 | Status: 7 | Skip: 0
Operation: DECFSZ     | operand_a: 1 | operand_b: 0 | Result: 0 | Status: 2 | Skip: 1
Operation: INCF       | operand_a: 255 | operand_b: 0 | Result: 0 | Status: 5 | Skip: 0
Operation: INCFSZ     | operand_a: 255 | operand_b: 0 | Result: 0 | Status: 6 | Skip: 1
Operation: IORLW      | operand_a: 48 | operand_b: 15 | Result: 63 | Status: 3 | Skip: 0
Operation: MOVF       | operand_a: 0 | operand_b: 0 | Result: 0 | Status: 5 | Skip: 0
Operation: MOVWF      | operand_a: 0 | operand_b: 90 | Result: 90 | Status: 6 | Skip: 0
Operation: CALL       | operand_a: 18 | operand_b: 52 | Result: 18 | Status: 5 | Skip: 0
Operation: GOTO       | operand_a: 86 | operand_b: 120 | Result: 86 | Status: 2 | Skip: 0
Operation: MOVLW      | operand_a: 0 | operand_b: 126 | Result: 126 | Status: 3 | Skip: 0
Operation: RETLW      | operand_a: 0 | operand_b: 66 | Result: 66 | Status: 4 | Skip: 0
Operation: RETUR      | operand_a: 154 | operand_b: 0 | Result: 154 | Status: 7 | Skip: 0
Operation: IORWF      | operand_a: 240 | operand_b: 15 | Result: 255 | Status: 1 | Skip: 0
Operation: NOP        | operand_a: 171 | operand_b: 205 | Result: 171 | Status: 2 | Skip: 0
Operation: RLF        | operand_a: 128 | operand_b: 0 | Result: 1 | Status: 3 | Skip: 0
Operation: RRF        | operand_a: 1 | operand_b: 0 | Result: 128 | Status: 5 | Skip: 0
Operation: SUBLW      | operand_a: 32 | operand_b: 5 | Result: 27 | Status: 1 | Skip: 0
Operation: SUBWF      | operand_a: 16 | operand_b: 1 | Result: 15 | Status: 1 | Skip: 0
Operation: SWAPF      | operand_a: 60 | operand_b: 0 | Result: 195 | Status: 5 | Skip: 0
Operation: XORLW      | operand_a: 170 | operand_b: 255 | Result: 85 | Status: 3 | Skip: 0
Operation: XORWF      | operand_a: 90 | operand_b: 90 | Result: 0 | Status: 5 | Skip: 0
